"Id","SalePrice"
1461,125357.058135731
1462,161087.020102454
1463,172810.934477176
1464,187072.35538884
1465,198994.640366484
1466,186086.254244888
1467,160886.765438566
1468,176556.109591554
1469,195601.39365366
1470,107811.338100327
1471,185673.161012543
1472,113118.620802496
1473,101733.482387171
1474,133826.29286163
1475,132083.885707529
1476,353466.914561299
1477,258493.517278118
1478,295967.082715169
1479,275612.299934183
1480,382431.486287419
1481,299620.566555425
1482,224931.085790637
1483,197015.846995463
1484,166288.888679218
1485,215398.531928518
1486,219208.467349351
1487,322856.48221977
1488,244429.610916217
1489,200131.648222095
1490,187011.179000429
1491,226349.042352586
1492,108821.800352406
1493,178999.175444127
1494,295426.988431538
1495,279067.472792195
1496,190123.170484217
1497,189514.124127487
1498,167343.247917928
1499,161590.958548075
1500,143524.031415988
1501,153945.195186089
1502,155289.809053316
1503,251853.009644968
1504,247300.441918012
1505,203746.293964936
1506,178140.537626515
1507,228602.806351455
1508,205038.499128781
1509,170914.037023408
1510,133992.362310451
1511,133895.278656025
1512,143572.990634728
1513,174455.406627156
1514,155539.627382651
1515,169925.275192678
1516,169431.441119991
1517,152858.266654226
1518,138888.185730581
1519,204632.740595475
1520,124772.139215485
1521,132150.323411197
1522,162535.088444572
1523,114045.157002401
1524,125185.360215433
1525,123742.390706022
1526,129716.27291038
1527,91912.8308936988
1528,139429.268763648
1529,125144.541468983
1530,157260.854368367
1531,97082.0813043948
1532,95137.7500222333
1533,123702.431531853
1534,132380.201450645
1535,142502.619852155
1536,111911.556069802
1537,71175.6720737394
1538,170087.920529336
1539,191387.599913019
1540,138489.658324124
1541,140360.529145851
1542,128440.499611746
1543,175490.872245044
1544,83015.7598254944
1545,126562.66047601
1546,128899.420364411
1547,121973.375932163
1548,139465.078755149
1549,108253.504726524
1550,118909.650465545
1551,118291.29705085
1552,113657.846103442
1553,142610.434434778
1554,112029.506116075
1555,155276.217411874
1556,114491.47859251
1557,116950.9468053
1558,120898.514787271
1559,104933.267240812
1560,114131.493560148
1561,137960.689058269
1562,120069.457860522
1563,120201.440887976
1564,138907.251381019
1565,144934.319629959
1566,213809.689524101
1567,91467.5233431996
1568,206316.817219237
1569,112820.191981982
1570,142961.217174223
1571,117503.895973014
1572,126586.255070849
1573,235520.560426094
1574,138258.37845612
1575,202614.919496513
1576,198721.173701376
1577,194376.666026267
1578,135154.157224855
1579,142915.746906292
1580,214613.1053247
1581,142235.556330117
1582,121390.005159964
1583,271038.199712311
1584,235899.056144431
1585,141569.413203617
1586,82555.5073383048
1587,120078.831789515
1588,134716.70269197
1589,110997.861945803
1590,143339.876804105
1591,101112.393265993
1592,106097.392049438
1593,123690.340756368
1594,156971.629913975
1595,131627.698446417
1596,198875.984571402
1597,169575.02065087
1598,235162.675627638
1599,179269.148259746
1600,185902.558312359
1601,69062.5140690914
1602,125856.609223678
1603,85136.72971563
1604,216817.695035899
1605,264995.008981024
1606,160622.650351565
1607,199210.69177346
1608,213422.445799878
1609,201803.105377539
1610,162275.332580686
1611,144221.543927037
1612,161381.273018614
1613,159243.521381224
1614,104399.557340207
1615,87282.3421182296
1616,90638.6510103803
1617,91200.3804073832
1618,119599.100670327
1619,135930.465142685
1620,182861.342577883
1621,149548.786861984
1622,145388.754957682
1623,250406.055226503
1624,199902.167776598
1625,142269.691838481
1626,165975.191348046
1627,187151.398333919
1628,296418.963377921
1629,207418.773389357
1630,292607.046535685
1631,225434.264895088
1632,239635.874591549
